labels,timestamp,value
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001897170270,"$0;1708602001897170270;protected void tools.descartes.teastore.webui.servlet.LoginActionServlet.handlePOSTRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643314;1708602001891782770;1708602001897167146;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001895116854,"$0;1708602001895116854;protected void tools.descartes.teastore.webui.servlet.CategoryServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643294;1708602001731822725;1708602001895112968;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001891018549,"$0;1708602001891018549;protected void tools.descartes.teastore.webui.servlet.LoginActionServlet.handlePOSTRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643311;1708602001885423300;1708602001891016378;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001889535855,"$0;1708602001889535855;protected void tools.descartes.teastore.webui.servlet.CartServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643303;1708602001807428661;1708602001889532396;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001888333195,"$0;1708602001888333195;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7675822614899589285;1708602001864701143;1708602001888329272;teastore-webui-76644ffb9f-tjrfv;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001885827476,"$0;1708602001885827476;protected void tools.descartes.teastore.webui.servlet.LoginActionServlet.handlePOSTRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643310;1708602001880472910;1708602001885825308;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001884528908,"$0;1708602001884528908;protected void tools.descartes.teastore.webui.servlet.LoginActionServlet.handlePOSTRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643309;1708602001872087971;1708602001884525580;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001883087019,"$0;1708602001883087019;protected void tools.descartes.teastore.webui.servlet.CartServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643298;1708602001754336642;1708602001883083987;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001877892075,"$0;1708602001877892075;protected void tools.descartes.teastore.webui.servlet.CartServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643302;1708602001796220266;1708602001877889473;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001875015324,"$0;1708602001875015324;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7675822614899589284;1708602001853395527;1708602001875008216;teastore-webui-76644ffb9f-tjrfv;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001874616125,"$0;1708602001874616125;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;2488238794122199222;1708602001853181612;1708602001874611987;teastore-webui-76644ffb9f-nc94z;0;0"
